Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,Award Amount
"HIRED TRUCK AGREEMENT / AZTEC TRUCKING, INC.",6158,2,26194,HIRED TRUCK,2/20/2007,OFFICE OF BUDGET & MANAGEMENT,"AZTEC TRUCKING, INC.",22139100M,318 SAGINAW ST,CALUMET CITY,0
HIRED TRUCK AGREEMENT / IMO TRUCKING,7017,2,30004,HIRED TRUCK,2/20/2007,OFFICE OF BUDGET & MANAGEMENT,IMO TRUCKING,37246393M,4150 W LAKE ST,CHICAGO,0
HIRED TRUCK AGREEMENT / LACY ENTERPRISES,6286,2,26482,HIRED TRUCK,2/20/2007,OFFICE OF BUDGET & MANAGEMENT,LACY ENTERPRISES INCORP.,23040773L,724 E 104TH ST FL 1ST,CHICAGO,0
HIRED TRUCK PROGRAM / NELSON TRUCKING,6200,2,26262,HIRED TRUCK,2/20/2007,OFFICE OF BUDGET & MANAGEMENT,NELSON TRUCKING,31313453H,1039 W 93RD STREET EFT ST,CHICAGO,0
"HIRED TRUCK AGREEMENT / S & G GROUP, INC.",6297,2,26495,HIRED TRUCK,2/20/2007,OFFICE OF BUDGET & MANAGEMENT,"S & G GROUP, INC.",15187104P,SUBURBAN BANK  #145254,CHICAGO,0
"HIRED TRUCK AGREEMENT / ABLE FUEL OIL, INC.",6209,2,26277,HIRED TRUCK,2/20/2007,OFFICE OF BUDGET & MANAGEMENT,"ABLE FUEL OIL, INC.",85241683P,8900 S GENOA AVE,CHICAGO,0
"HIRED TRUCK AGREEMENT / RUFFDAY ENTERPRISES, INC.",6180,2,26216,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,"RUFFDAY ENTERPRISES, INC",10803931P,5037 N ST LOUIS AVE,CHICAGO,0
HIRED TRUCK AGREEMENT / ABC COMPANY,6190,2,26243,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,A B C COMPANY,61398691A,359 E 79TH STREET EFT ST,CHICAGO,0
"HIRED TRUCK AGREEMENT / W & D TRUCK LINES, INC.",6300,2,26497,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,"W & D TRUCKLINE LINES, INC",5728138H,6019 S PERRY AVE,CHICAGO,0
HIRED TRUCK AGREEMENT / L C RUSSELL'S TRUCKING,6488,2,27243,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,L C RUSSELL'S TRUCKING,35345366L,10952 S UNION EFT,CHICAGO,0
HIRED TRUCK AGREEMENT / L&M TRUCKING,6169,2,26205,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,JERE CERNIGLIA/L&M TRUCKING,31338163T,4750 N MILWAUKEE AVENUE EFT,CHICAGO,0
"HIRED TRUCK AGREEMENT / MALCOM'S TRUCKING, INC.",6310,2,26521,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,"MALCOLM'S TRUCKING, INC.",7829420E,2627 W 86TH PL,CHICAGO,0
HIRED TRUCK AGREEMENT / SANDERSON TRUCKING,6205,2,26267,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,SANDERSON TRUCKING,31324735L,1689 PATRICIA PL,CALUMET CITY,0
"HIRED TRUCK AGREEMENT / HOLTON CARTAGE, INC.",6291,2,26489,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,HOLTON CARTAGE INC,22729781A,7837 S RIDGELAND AVE,CHICAGO,0
HIRED TRUCK AGREEMENT / MAYBERRY TRUCKING CORPORATION,6294,2,26492,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,MAYBERRY TRUCKING CO.,22482590V,7654 S CARPENTER ST FL 1ST,CHICAGO,0
"HIRED TRUCK AGREEMENT / PHYL-RAN TRUCKING, INC.",6177,2,26213,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,"PHYL-RAN, INC.",30753506P,16851 S PARKER RD,LOCKPORT,0
"HIRED TRUCK AGREEMENT / LEON CONSTRUCTION CO., INC.",6170,2,26206,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,"LEON CONSTRUCTION CORPORATION., INC",27044846A,1407 S 61ST AVE,CICERO,0
"HIRED TRUCK AGREEMENT / NBM TRUCKING, INC.",6175,2,26211,HIRED TRUCK,1/9/2007,OFFICE OF BUDGET & MANAGEMENT,"NBM TRUCKING, INC.",15314638E,155 WEDGEPORT CIRCLE EFT,ROMEOVILLE,0
"HIRED TRUCK AGREEMENT / A&J MOTOR, INC.",6986,1,29784,HIRED TRUCK,11/2/2006,OFFICE OF BUDGET & MANAGEMENT,"A & J MOTORS, INC.",23188990A,419 WHITE OAK EFT,ROSELLE,0
HIRED TRUCK AGREEMENT / J&E ENTERPRISE,6303,1,26503,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,J & E ENTERPRISES CO.,31321723P,C/O WESTBROOK CAPITAL,LA GRANGE,0
"HIRED TRUCK AGREEMENT / S & G GROUP, INC.",6297,1,26495,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,"S & G GROUP, INC.",15187104P,SUBURBAN BANK  #145254,CHICAGO,0
HIRED TRUCK AGREEMENT / TEX'S TRUCKING INC.,6284,1,26478,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,"TEX'S TRUCKING, INC.",15237152V,PO BOX 8324,CHICAGO,0
"HIRED TRUCK AGREEMENT / W.B. GOLDSBY, INC.",6212,1,26283,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,W. B. GOLDSBY TRUCKING,15566857Z,8412 S WINCHESTER STREET EFT,CHICAGO,0
"HIRED TRUCK AGREEMENT / C&C TRUCK REPAIR, INC.",6231,1,26335,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,"C & C TRUCK REPAIR, INC.",15196807T,3414 S NORMAL AVE,CHICAGO,0
"HIRED TRUCK AGREEMENT / NBM TRUCKING, INC.",6175,1,26211,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,"NBM TRUCKING, INC.",15314638E,155 WEDGEPORT CIRCLE EFT,ROMEOVILLE,0
HIRED TRUCK AGREEMENT / SARCH HAULING LTD,6181,1,26217,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,"SARCH HAULING, LIMITED",18816999X,2853 W 24TH BLVD,CHICAGO,0
HIRED TRUCK AGREEMENT / JO GLAD CORP.,6166,1,26202,HIRED TRUCK,7/10/2006,OFFICE OF BUDGET & MANAGEMENT,JO GLAD CORP.,15641170P,4616 W OFFNER RD,MONEE,0
